"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ndufa1",4.81442745676297e-06,-0.665633964014793,1,1,0.117404627960622
"Smim27",5.12507620492175e-06,-0.477332551038696,1,1,0.124980108333222
"Tent4a",5.18327651901924e-06,0.499350133291393,1,1,0.126399381192803
"Ndufa7",5.19264859630605e-06,-0.498275995479528,1,1,0.126627928669519
"Rps23",5.25933385291417e-06,-0.345204656592731,1,1,0.128254115337165
"Uqcr10",5.62629383707753e-06,-0.543037831128716,1,1,0.137202801510973
"Cdca2",5.64494080863248e-06,0.391646903786967,1,1,0.137657526559312
"H2-Q7",5.99668306580153e-06,2.7046690671646,1,0.75,0.146235113242636
"Atp5e",6.38625190680891e-06,-0.60671325665441,1,1,0.155735138999442
"Uqcrb",6.75068836741405e-06,-0.406614346388512,1,1,0.164622286527759
"Cenpl",7.05328173544545e-06,0.419161462567596,1,1,0.172001328400573
"Mis18bp1",7.53440607336029e-06,0.437606069505912,1,1,0.183734026504964
"Rnf10",7.7663634541713e-06,0.644598822141092,1,1,0.189390539193421
"Ahr",7.84329928795587e-06,0.542325427816439,1,1,0.191266696436092
"Anln",7.84400127580026e-06,1.0371090468083,1,1,0.191283815111665
"Ube2t",7.93371730611824e-06,0.412695739946483,1,1,0.193471630226999
"Ndufb4",8.04690568731351e-06,-0.54977308748584,1,1,0.196231842090827
"Arid4b",8.11296389409074e-06,-0.35267669622599,1,1,0.197842737521297
"Slfn5",8.34379189310847e-06,0.411992836340952,1,0.75,0.203471709105343
"Bcas2",8.4187638225684e-06,-0.39311385954908,1,1,0.205299974577153
"Hap1",8.57326320682648e-06,0.429019397528299,1,1,0.20906759656167
"Nosip",8.91680599409674e-06,0.454179362294899,1,1,0.217445230972043
"Hells",9.21124504046899e-06,0.563349851279911,1,1,0.224625421556877
"Gem",9.31652761568708e-06,0.494627294838847,1,1,0.227192842436145
"Atox1",9.79402479185265e-06,-0.607049635057072,1,1,0.238837088574119
"Ckap2l",9.83924134506237e-06,0.908389473782755,1,1,0.239939739440691
"Tspan7",1.01011118501625e-05,-0.382263740461278,1,1,0.246325713578062
"Pml",1.02376804558099e-05,0.505875806568326,1,1,0.24965607559538
"Trim59",1.03520734238015e-05,0.451427923177693,1,1,0.252445662512824
