"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.52094957587498e-50,1.53553248578747,0.633,0.526,6.14758763572872e-46,"12","D8Ertd738e"
3.72281595318245e-50,2.20351204059185,0.402,0.113,9.07845898343071e-46,"12","Bcl2a1b"
1.84558613795299e-49,5.39567322691015,0.263,0.019,4.50064635601216e-45,"12","Slfn4"
3.09015327063592e-49,2.88065115189741,0.376,0.089,7.53564776577274e-45,"12","Il17ra"
7.81299418337511e-49,2.08086444951899,0.495,0.184,1.90527676155785e-44,"12","Ptpn6"
1.51662911329616e-48,4.03171843126516,0.253,0.029,3.69845175568401e-44,"12","Slc2a3"
2.12669787303932e-48,2.78827846375263,0.367,0.087,5.18616543319368e-44,"12","Entpd1"
4.45774715740975e-48,1.87556863077006,0.561,0.36,1.08706622180594e-43,"12","Tut7"
1.46782032810985e-47,2.33143084474569,0.445,0.156,3.57942665212867e-43,"12","Rhog"
5.0209199376076e-47,3.51384366953784,0.273,0.027,1.22440153598499e-42,"12","Trem3"
6.32167656856593e-47,2.74278581982653,0.409,0.148,1.54160404801049e-42,"12","Ifitm1"
1.89759934551121e-46,2.38460524599037,0.529,0.286,4.62748576396364e-42,"12","Ndel1"
3.28706896403853e-46,3.26050727862034,0.299,0.062,8.01584637570436e-42,"12","2310001H17Rik"
4.532834887368e-46,1.97086689942315,0.441,0.158,1.10537711563356e-41,"12","Gm2a"
4.72739083080865e-46,0.778256675302191,0.922,0.511,1.152821528001e-41,"12","B2m"
1.24234949354898e-45,2.62500577047093,0.406,0.097,3.02959347496855e-41,"12","Slc15a3"
1.35071694006646e-45,2.52875634414317,0.404,0.116,3.29385833004607e-41,"12","Ppp1r18"
4.66967396077748e-45,3.47309219462092,0.267,0.038,1.1387466920752e-40,"12","Gm34084"
1.01850297355858e-44,1.96237829968484,0.501,0.185,2.48372135131996e-40,"12","Lyn"
2.43088086723424e-44,2.13956696451758,0.356,0.085,5.92794608283742e-40,"12","Hcst"
3.33719530914759e-44,2.23712967462208,0.412,0.172,8.13808448088732e-40,"12","Card19"
5.44771854180434e-44,2.14274142144122,0.431,0.138,1.32848064360441e-39,"12","Hcls1"
1.43341596816499e-43,2.36929734573993,0.359,0.131,3.49552817996715e-39,"12","Nabp1"
1.54007309181362e-43,3.36968411188611,0.299,0.047,3.75562224169669e-39,"12","Apobr"
3.11157933990318e-43,2.22780670321896,0.357,0.072,7.58789737828789e-39,"12","Ltb"
1.30843978710228e-42,0.490366943892736,1,0.998,3.19076126482761e-38,"12","Fau"
3.02427853167258e-42,1.57196362469296,0.56,0.301,7.37500562733676e-38,"12","Ier5"
1.39627918979806e-41,1.53327517207098,0.597,0.356,3.40496643224156e-37,"12","Rap1b"
1.43459407160658e-41,2.03677567482652,0.512,0.296,3.49840110301981e-37,"12","Gcnt2"
1.95324624001541e-41,2.49838919441468,0.374,0.092,4.76318628090157e-37,"12","Syk"
3.11577653411096e-41,1.47417161587811,0.5,0.238,7.59813265608299e-37,"12","Cebpd"
8.09749713991025e-41,3.16486702585839,0.256,0.051,1.97465565253851e-36,"12","Gcnt1"
1.0537423367556e-40,2.54435581744697,0.365,0.123,2.5696560624122e-36,"12","Ninj1"
1.12963833390063e-40,2.3947098567965,0.372,0.101,2.75473604105008e-36,"12","Csf2ra"
1.17155649903159e-40,2.43704520930958,0.286,0.07,2.85695767853844e-36,"12","Glipr1"
6.77039634673886e-40,2.68498794426119,0.314,0.074,1.65102885311574e-35,"12","Lcp2"
9.33991532531025e-40,0.984859473215147,0.758,0.635,2.27763175123016e-35,"12","Clic1"
2.54921558991246e-39,2.50338146854841,0.33,0.094,6.21651713756053e-35,"12","Plekho2"
3.85064095350171e-39,2.90878972107049,0.285,0.058,9.39017302920927e-35,"12","Pstpip1"
7.70830314450526e-39,1.86005045342037,0.379,0.102,1.87974680481905e-34,"12","Tgfbi"
9.91546396395529e-39,0.882354783332552,0.579,0.398,2.41798504225014e-34,"12","Ctsd"
1.78426291929018e-38,2.38900866368555,0.461,0.205,4.35110355498103e-34,"12","Marcksl1"
1.92883734944975e-38,2.10816325633479,0.319,0.1,4.70366276036816e-34,"12","Arhgap45"
4.00972190124048e-38,2.52481850685894,0.359,0.115,9.77810782836503e-34,"12","Thbs1"
6.57217942848048e-38,1.86640459832049,0.38,0.186,1.60269167542925e-33,"12","Pbxip1"
1.47465394102357e-37,0.687974865863197,0.804,0.599,3.59609110058007e-33,"12","Ier2"
2.40089966714676e-37,0.803051266220683,0.512,0.291,5.8548339283041e-33,"12","Gsn"
4.91024263977917e-37,1.79165477519402,0.424,0.188,1.19741177013655e-32,"12","Man2b1"
8.42519721865754e-37,2.61413096142768,0.313,0.08,2.05456859374183e-32,"12","Hacd4"
1.29152809746791e-36,1.73408965203004,0.501,0.302,3.14952041848524e-32,"12","Skil"
6.31043536265884e-36,1.39924272185,0.579,0.456,1.53886276753798e-31,"12","Pak2"
1.15372016852951e-35,2.31365095784834,0.356,0.097,2.81346200297606e-31,"12","Ncf4"
1.41547888761775e-35,1.95318925435826,0.505,0.262,3.45178681534464e-31,"12","Cap1"
1.51192317561499e-35,2.46125252558408,0.295,0.071,3.68697585605472e-31,"12","Itgal"
1.66145899802943e-35,2.79697176230431,0.289,0.082,4.05163391259457e-31,"12","Ccl3"
1.70780913294214e-35,2.04383284927773,0.405,0.163,4.16466335159269e-31,"12","Grk2"
4.6644948520048e-35,1.18000863877397,0.798,0.726,1.13748371460989e-30,"12","Pnrc1"
5.37597572817996e-35,1.83681730329772,0.387,0.201,1.31098544107396e-30,"12","Actn1"
1.12020210470745e-34,2.34354227463571,0.339,0.108,2.73172485253958e-30,"12","Adgre5"
1.71659266402205e-34,1.46958000849484,0.481,0.283,4.18608287048417e-30,"12","Socs3"
1.98035485215551e-34,0.684864665908667,0.784,0.499,4.82929334246642e-30,"12","Egr1"
3.10233755334369e-33,2.82874322200814,0.285,0.066,7.56536035758392e-29,"12","Ripor2"
6.00701113216583e-33,1.89130976486541,0.353,0.165,1.46486973468996e-28,"12","Arrb2"
