"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Themis2",7.1010333745472e-07,1.50145897647798,1,1,0.0173165799871708
"Hnrnpa1",7.35565684266977e-07,-0.459388699186309,1,1,0.0179375047765345
"Top1",7.64539074190579e-07,-0.580506302003582,1,1,0.0186440498632115
"Obp1a",7.80092571276059e-07,1.4297941100272,1,1,0.019023337443138
"Pml",7.95771064128316e-07,1.53055763760599,1,1,0.0194056731698331
"Atp5l",8.20907516042827e-07,-0.853516341935195,1,1,0.0200186506862204
"Anxa1",8.22280064397636e-07,-0.630499248102764,1,1,0.0200521216504008
"Crip1",8.41669003534453e-07,-0.896053927622331,1,1,0.0205249403201912
"Naca",8.47213222329671e-07,-1.09961365525959,1,1,0.0206601416397314
"Rpl37",8.62265313468553e-07,-1.44872914158832,1,1,0.0210272019342441
"Parp14",9.11834682107698e-07,3.60063112877355,1,1,0.0222360005578783
"Tgm2",9.1366427420801e-07,1.1130735350383,0.75,1,0.0222806169908365
"BC147527",9.31693371775892e-07,1.23124245382776,1,1,0.0227202745641269
"Ost4",1.0242043633605e-06,-1.20810250890931,0.75,1,0.0249762476049092
"Atp5j2",1.13775176768124e-06,-0.9302715275328,1,1,0.0277452146066748
"Nampt",1.16428319964164e-06,1.44652490018932,1,1,0.0283922101064611
"A530032D15Rik",1.18963820753982e-06,2.04891278612572,1,1,0.0290105173290661
"Rps17",1.22658807299287e-06,-1.12132256022644,1,1,0.0299115767480041
"AW112010",1.23625560047228e-06,2.79449630689221,1,1,0.030147329073117
"Trim30b",1.24714702286893e-06,1.22625960803723,1,1,0.0304129272996818
"Gm4951",1.2514310777689e-06,2.21907897760286,1,0,0.0305173982624725
"Ms4a7",1.2693425525707e-06,1.7830659820657,0.75,1,0.030954187486989
"Il15",1.27294335650542e-06,1.82689315831038,1,1,0.0310419966917413
"Rnf114",1.46344757255139e-06,1.57550045560017,1,1,0.0356876325042382
"Slc25a4",1.50540346826797e-06,-1.21000684823837,0.75,1,0.0367107689771826
"Adar",1.60910721369828e-06,1.17810729515567,1,1,0.0392396885132463
"Ddx58",1.79455930974984e-06,2.67708055480753,1,1,0.0437621233275597
