,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Broad_cluster,Cluster,revised_cluster
217,Des,0,9.914042877,0.322,0.001,0,21,Des,Stromal,Smooth Muscle Cell,Smooth Muscle Cell
218,Slc38a111,0,9.325591379,0.337,0.001,0,21,Slc38a11,Stromal,Smooth Muscle Cell,Smooth Muscle Cell
219,Gucy1b1,0,8.724144334,0.693,0.003,0,21,Gucy1b1,Stromal,Smooth Muscle Cell,Smooth Muscle Cell
220,Mustn1,0,8.59991765,0.759,0.011,0,21,Mustn1,Stromal,Smooth Muscle Cell,Smooth Muscle Cell
221,Muc2,0,9.121020997,0.958,0.009,0,22,Muc2,Epithelial,Sustentacular (OE),Sustentacular (OE)
222,Gldn,0,8.203298062,0.859,0.006,0,22,Gldn,Epithelial,Sustentacular (OE),Sustentacular (OE)
223,Sec14l31,0,8.122724601,1,0.048,0,22,Sec14l3,Epithelial,Sustentacular (OE),Sustentacular (OE)
224,Nipal1,0,7.889760222,0.602,0.004,0,22,Nipal1,Epithelial,Sustentacular (OE),Sustentacular (OE)
225,Tex33,0,7.652636966,0.784,0.009,0,22,Tex33,Epithelial,Sustentacular (OE),Sustentacular (OE)
226,Slc5a11,0,7.637771631,0.277,0.001,0,22,Slc5a11,Epithelial,Sustentacular (OE),Sustentacular (OE)
227,Kcnj5,0,7.620839699,0.506,0.004,0,22,Kcnj5,Epithelial,Sustentacular (OE),Sustentacular (OE)
228,Oprk1,0,7.548744627,0.38,0.002,0,22,Oprk1,Epithelial,Sustentacular (OE),Sustentacular (OE)
229,B630019A10Rik,0,7.544880493,0.331,0.003,0,22,B630019A10Rik,Epithelial,Sustentacular (OE),Sustentacular (OE)
230,E330011O21Rik,0,7.240545362,0.389,0.003,0,22,E330011O21Rik,Epithelial,Sustentacular (OE),Sustentacular (OE)
231,Car6,0,12.18611802,0.942,0.005,0,23,Car6,Epithelial,Scgb-b27+Cck+,Scgb-b27+Cck+
232,Scgb2b27,0,11.65813579,0.98,0.007,0,23,Scgb2b27,Epithelial,Scgb-b27+Cck+,Scgb-b27+Cck+
233,Scgb1b27,0,11.4226673,0.898,0.006,0,23,Scgb1b27,Epithelial,Scgb-b27+Cck+,Scgb-b27+Cck+
234,Csn3,0,10.93381236,0.383,0.001,0,23,Csn3,Epithelial,Scgb-b27+Cck+,Scgb-b27+Cck+
235,Fbp1,0,9.13908629,0.79,0.007,0,23,Fbp1,Epithelial,Scgb-b27+Cck+,Scgb-b27+Cck+
236,Pinlyp,0,9.102373606,0.285,0.002,0,23,Pinlyp,Epithelial,Scgb-b27+Cck+,Scgb-b27+Cck+
237,Cck1,0,9.037874106,0.806,0.009,0,23,Cck,Epithelial,Scgb-b27+Cck+,Scgb-b27+Cck+
