"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Atp2b18",3.64208686290089e-09,0.260534594514228,0.603,0.575,8.88159302387012e-05,"21","Atp2b1"
"Churc16",4.71568620864136e-09,0.302416984639474,0.295,0.248,0.000114996723883928,"21","Churc1"
"Cd826",5.04377931162053e-09,0.343461913889651,0.289,0.245,0.000122997602293178,"21","Cd82"
"Ube2v13",6.53653597443678e-09,0.316649999468387,0.295,0.25,0.000159399966272615,"21","Ube2v1"
"Rnf104",6.76298301025421e-09,0.335725027116922,0.354,0.314,0.000164922103688059,"21","Rnf10"
"Kdelr18",7.79324416705677e-09,0.293033943754036,0.318,0.272,0.000190046052257846,"21","Kdelr1"
"Cyhr19",9.83290819339314e-09,0.338354555012365,0.302,0.259,0.000239785299204085,"21","Cyhr1"
"Ppp2r1a5",1.19719658970764e-08,0.35328196315501,0.303,0.262,0.000291948360366105,"21","Ppp2r1a"
"Sarnp2",2.41933658456003e-08,0.265214208719161,0.476,0.444,0.000589979419510809,"21","Sarnp"
"Smc66",5.43255918909373e-08,0.284579688482099,0.367,0.326,0.0013247838838524,"21","Smc6"
"Ube2r25",6.59199089330127e-08,0.304005890928688,0.348,0.309,0.00160752289924045,"21","Ube2r2"
"Commd38",7.08328613514094e-08,0.304233607249062,0.265,0.224,0.00172733015691547,"21","Commd3"
"Mrpl186",7.36533102546595e-08,0.305032108033661,0.368,0.331,0.00179610962387013,"21","Mrpl18"
"Mast47",7.6589057138188e-08,0.262932519161404,0.309,0.266,0.00186770074737185,"21","Mast4"
"Mrpl202",8.86899095090825e-08,0.278379650742896,0.431,0.395,0.00216279213328849,"21","Mrpl20"
"Ndufb66",1.24826142658133e-07,0.27444411713402,0.483,0.453,0.00304401031486124,"21","Ndufb6"
"Brd34",2.06213093744296e-07,0.292933279267598,0.312,0.271,0.00502871250404839,"21","Brd3"
"Bod1l5",3.33593967663413e-07,0.255274947406527,0.489,0.458,0.00813502249544,"21","Bod1l"
"Pnpla84",4.5591569700047e-07,0.3171064286086,0.326,0.29,0.0111179601870535,"21","Pnpla8"
