"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bpifb3",1.18690374077811e-23,2.04822373377243,1,0,2.8943834622615e-19
"Rps28",1.25507093183057e-23,-0.317567560055656,1,1,3.06061597436204e-19
"Atp5f1",1.26794076817249e-23,-0.400350058340774,1,1,3.09200035726544e-19
"Txn1",1.55447512020874e-23,-0.503772341673235,1,1,3.79074302814103e-19
"Eef1a1",1.68999919692508e-23,-0.227832555046396,1,1,4.12123204162151e-19
"Cst3",1.78213055958424e-23,-0.585240194934371,1,1,4.34590358260214e-19
"Slc25a5",1.96247496957137e-23,-0.447734402622623,1,1,4.78569146079673e-19
"Psma7",1.9892377876653e-23,-0.351948616486956,1,1,4.8509552690006e-19
"Ndufa1",2.79876719124501e-23,-0.435678471434067,1,1,6.82507367257007e-19
"Tsc22d1",2.92748577859622e-23,-0.367162240252541,1,1,7.13896681968473e-19
"Hspa5",3.08372538818709e-23,-0.363411779173811,1,1,7.51997273163304e-19
"Rpsa",3.16877099526365e-23,-0.253458428551212,1,1,7.72736494904993e-19
"Arpc3",3.4038920379477e-23,-0.601248389147973,1,1,8.30073112373926e-19
"Tspan3",4.20702899059586e-23,-0.355790149165542,1,1,1.02592608964671e-18
"Rpl18a",5.64257871005606e-23,-0.274544464360034,1,1,1.37599924423427e-18
"Clic1",5.77472691599584e-23,-0.562540977647053,1,1,1.40822490573475e-18
"Ndufb3",5.9818137860687e-23,-0.354823213318593,1,1,1.45872510987071e-18
"Rpl15",7.13022808559146e-23,-0.294415359805459,1,1,1.73877742095233e-18
"Gpi1",8.29501757894403e-23,-0.500740667801037,1,1,2.02282298680129e-18
"Ndufb11",8.96309677556941e-23,-0.391823797442012,1,1,2.18574077969036e-18
"Cd9",1.03991697169964e-22,-0.617550932309983,1,1,2.53594152718674e-18
"Hnrnpk",1.31215886813647e-22,-0.317072791082056,1,1,3.1998306158376e-18
"Rpl37",1.42569277787939e-22,-0.308662086874035,1,1,3.47669440813667e-18
